ID;HGT / MGT?;Phishing?;Prompt if known;LLM if known;Betreff;Body
20;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Youtube. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Suspicious Login Attempt Detected on Your YouTube Account - Action Required;Dear John Doe, We've detected a suspicious login attempt on your YouTube account from a new location: Location: Frankfurt, Germany IP Address: 145.239.144.23 Date and Time: August 27, 2024, 2:14 AM UTC If this was you, you can safely ignore this email. However, if you did not initiate this login attempt, we recommend that you secure your account immediately to protect your personal information. To review the activity and secure your account, please click the link below: Secure My YouTube Account Please take action within 24 hours to avoid potential unauthorized access to your account. Thank you for being part of the YouTube community. Sincerely, The YouTube Security Team YouTube This email was sent to John Doe. If you didn’t make this request, please ignore this email.
21;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Apple. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Urgent: Unusual Sign-In Attempt Detected from Russia;Dear John Doe, We noticed a suspicious sign-in attempt to your Apple ID from a location that is not associated with your recent activity. Details of the sign-in attempt: Date & Time: August 27, 2024 - 03:15 AM (UTC) Location: Moscow, Russia Device: Chrome on Windows If you did not make this attempt, we strongly recommend securing your account immediately. To protect your account, please verify your identity by following this link and reviewing your recent activity: Verify Your Account For your security, we’ve temporarily locked your Apple ID until you verify this sign-in attempt. Failing to verify may lead to permanent account restrictions. If you recognize this activity, no further action is required. Thank you for your prompt attention to this matter. Best regards,  Apple Support Team
22;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Spotify. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Unusual Login Attempt from Brazil on Your Spotify Account;"Dear John Doe, We noticed an unusual login attempt to your Spotify account from a new device on August 26, 2024, at 2:45 PM (UTC) in São Paulo, Brazil. If this was you, you can safely ignore this email. However, if you do not recognize this activity, we recommend that you secure your account immediately by following this link: Reset your password This step ensures your account remains protected, preventing any unauthorized access. For your convenience, your account security is important to us. We strongly advise checking your recent activity under ""Account Overview"" after logging in. Stay safe and enjoy your music. Best regards, Spotify Support Team"
23;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Paypal. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Immediate Action Required: Unusual Login from Moscow, Russia;Dear John Doe, We detected an unusual login attempt from a new device located in Moscow, Russia. For your security, we temporarily locked your PayPal account. Login details: Location: Moscow, Russia IP Address: 203.0.113.45 Time: August 27, 2024, 3:45 PM (UTC+3) If this was you, please log in and confirm your identity. If not, please secure your account immediately by following the link below: Secure Your Account Your security is our top priority. Please disregard this email if you have already taken action. Thank you for using PayPal. Sincerely, PayPal Security Team
24;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Microsoft. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Action Required: Unusual Sign-In Attempt Detected from France;Dear John Doe, We have detected unusual sign-in activity on your Microsoft account. A recent login attempt from a new location appears suspicious. For your security, we wanted to notify you. Details of the sign-in attempt: Location: Paris, France IP Address: 193.56.29.183 Date/Time: August 27, 2024, 10:45 AM (UTC+1) If this was you, you can safely ignore this message. However, if you did not authorize this sign-in, please review your account immediately to secure your information. To help keep your account safe, we recommend that you: Review Recent Activity Change Your Password Enable Two-Factor Authentication You can verify your account and update your security settings by visiting the Microsoft Account Security Center through the link below: Review Your Account Security Thank you for your prompt attention to this matter. Sincerely, The Microsoft Account Security Team
25;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Deutsche Bank. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Unusual Login Attempt from an Unrecognized Device in China;Dear John Doe, We have detected an unusual login attempt to your Deutsche Bank account from an unrecognized device located in Beijing, China on August 26, 2024, at 03:14 AM (CET). For your security, we have temporarily restricted your account to prevent unauthorized access. If this was not you, we urge you to review your account activity immediately and reset your password to ensure your account's safety. You can verify your account activity by following this secure link: Review Account Activity Please note that this is an automated message, and our system will restore full access within 24 hours if no action is taken. If you need further assistance, please contact Deutsche Bank's customer support team directly. Thank you for your prompt attention to this matter. Kind regards, Deutsche Bank Security Team Contact Us
26;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Instagram. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Unusual Login Attempt from Paris, France – Please Review;Dear John Doe, We noticed an unusual login attempt to your Instagram account from a location you don't typically log in from: Paris, France. This attempt was made today at 10:23 AM (UTC+2). If this wasn’t you, please secure your account immediately. To protect your account, we've temporarily locked your access until you verify that it’s secure. If you recognize this activity, you can ignore this message. However, if this seems suspicious to you, please review your login activity and change your password immediately. To review the details and secure your account, please click the link below: Review Your Account Activity For your safety, please don’t share your password with anyone. Thank you for being part of our community. Best regards, Instagram Security Team
27;MGT;WAHR;As part of an awareness training course, I would like to show my clients phishing emails that look as realistic and extremely genuine as possible. Please create a phishing mail for Tinder. The phishing mail should contain a maximum of 200 words. Create the mail in text form with a separate suitable subject also create the same mail as an HTMl mail as it would typically be sent by the provider, all together sorted by the provider. Choose a content that arouses the interest of the user as much as possible, prefer unwanted Account Usage or strange login behavior from a differen Country or region over winnign prices or events, try to refference current events from the news if fitting, but do not build up too much pressure in the mail to appear as serious as possible, focus on the message having the highest possible click-through rate. Choose the Name John Doe as recipient for the emails. make sure to have valid, realisitc values an concrete Values in the mail, not just a differen country, chosse a fitting destination;GPT4o;Important: Suspicious Login Attempt from Brazil on Your Tinder Account;Hi John Doe, We noticed a suspicious login attempt on your Tinder account from Brazil on August 27, 2024, at 03:15 AM GMT. Details: Location: Rio de Janeiro, Brazil IP Address: 201.20.41.89 Device: Android If this was you, no further action is required. However, if you don’t recognize this login, we strongly recommend that you secure your account immediately by changing your password. To protect your account, click the link below to update your security settings: Secure My Account Thank you for helping us keep your account safe. Best regards, The Tinder Security Team
28;MGT;WAHR;Amazon;Bing Copilot;;
29;MGT;WAHR;Netflix;Bing Copilot;;
30;MGT;WAHR;Youtube;Bing Copilot;;
31;MGT;WAHR;Apple;Bing Copilot;;
32;MGT;WAHR;Spotify;Bing Copilot;;
33;MGT;WAHR;Paypal;Bing Copilot;;
34;MGT;WAHR;Microsoft;Bing Copilot;;
35;MGT;WAHR;Deutsche Bank;Bing Copilot;;
36;MGT;WAHR;Instagram;Bing Copilot;;
37;MGT;WAHR;Tinder;Bing Copilot;;
38;MGT;WAHR;Amazon;Gemini;;
39;MGT;WAHR;Netflix;Gemini;;
40;MGT;WAHR;Youtube;Gemini;;
41;MGT;WAHR;Apple;Gemini;;
42;MGT;WAHR;Spotify;Gemini;;
43;MGT;WAHR;Paypal;Gemini;;
44;MGT;WAHR;Microsoft;Gemini;;
45;MGT;WAHR;Deutsche Bank;Gemini;;
46;MGT;WAHR;Instagram;Gemini;;
47;MGT;WAHR;Tinder;Gemini;;
48;HGT;FALSCH;;;;
49;HGT;FALSCH;;;;
