OriginLine,Prompt,Response
41,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99.91% Human; The Mail: Dear Customer, to ensure your privacy and security of your data, we updated our security guidelines. From 2024/09/30 onwards, you will need to perform 2-step verification to log into your account. Please set up your verification device beforehand! Otherwise you will not be able to log in anymore! To set up your 2-step verification click here to access our webpage. All further steps are explained there. Yours Sinceresly, Your Amazon Support Team",PLACEHOLDER
44,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: Dear Customer, to ensure your privacy and security of your data, we updated our security guidelines. From 2024/09/30 onwards, you will need to perform 2-step verification to log into your account. Please set up your verification device beforehand! Otherwise you will not be able to log in anymore! To set up your 2-step verification click here to access our webpage. All further steps are explained there. Yours Sinceresly, Your Amazon Support Team",PLACEHOLDER
47,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Dear Customer, to ensure your privacy and security of your data, we updated our security guidelines. From 2024/09/30 onwards, you will need to perform 2-step verification to log into your account. Please set up your verification device beforehand! Otherwise you will not be able to log in anymore! To set up your 2-step verification click here to access our webpage. All further steps are explained there. Yours Sinceresly, Your Amazon Support Team",PLACEHOLDER
50,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Hello John Doe, you transferred $945,38 USD to trivago.com. Cancel Transaction The transfer order of said sum will be transferred to the recipient within two business days. Please ensure the recipient and all its information is valid. Also your Account needs to be covered for this transaction to happen. Yours Sinceresly, Paypal",PLACEHOLDER
53,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99.95% Human; The Mail: Hello John Doe, you transferred $945,38 USD to trivago.com. Cancel Transaction The transfer order of said sum will be transferred to the recipient within two business days. Please ensure the recipient and all its information is valid. Also your Account needs to be covered for this transaction to happen. Yours Sinceresly, Paypal",PLACEHOLDER
56,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: Hello John Doe, you transferred $945,38 USD to trivago.com. Cancel Transaction The transfer order of said sum will be transferred to the recipient within two business days. Please ensure the recipient and all its information is valid. Also your Account needs to be covered for this transaction to happen. Yours Sinceresly, Paypal",PLACEHOLDER
59,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Hello John Doe, you transferred $945,38 USD to trivago.com. Cancel Transaction The transfer order of said sum will be transferred to the recipient within two business days. Please ensure the recipient and all its information is valid. Also your Account needs to be covered for this transaction to happen. Yours Sinceresly, Paypal",PLACEHOLDER
62,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Hi John Doe! Your given payment method is invalid! In order to continue using Spotify Premium, please enter a valid payment method in your profile under: My Account/Settings or click on this link. For further instructions visit our FAQ here, or contact us on support.spotify.com.  Kind regards, Your Spotify Team",PLACEHOLDER
65,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99.93% Human; The Mail: Hi John Doe! Your given payment method is invalid! In order to continue using Spotify Premium, please enter a valid payment method in your profile under: My Account/Settings or click on this link. For further instructions visit our FAQ here, or contact us on support.spotify.com.  Kind regards, Your Spotify Team",PLACEHOLDER
68,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: Hi John Doe! Your given payment method is invalid! In order to continue using Spotify Premium, please enter a valid payment method in your profile under: My Account/Settings or click on this link. For further instructions visit our FAQ here, or contact us on support.spotify.com.  Kind regards, Your Spotify Team",PLACEHOLDER
71,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Hi John Doe! Your given payment method is invalid! In order to continue using Spotify Premium, please enter a valid payment method in your profile under: My Account/Settings or click on this link. For further instructions visit our FAQ here, or contact us on support.spotify.com.  Kind regards, Your Spotify Team",PLACEHOLDER
74,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Sir or Madam, Save the Children is a charity organization which aims to help children in poverty all around the globe. Our work includes providing food and shelter, medical aid and education. Our members are active in countries like Ghana, Namibia and Brazil to tend to their needs.But we funds are limited and thus there are many children we cannot help. Yet. Please become one of our many donors to make the world a little bit better. With $25 you can support a child in Ghana with food for a whole month! Please visit our website for further information or start donating right now by clicking here. Thank you for making the world a better place! Yours Sinceresly, Save the Children",PLACEHOLDER
77,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99.47% Human; The Mail: Dear Sir or Madam, Save the Children is a charity organization which aims to help children in poverty all around the globe. Our work includes providing food and shelter, medical aid and education. Our members are active in countries like Ghana, Namibia and Brazil to tend to their needs.But we funds are limited and thus there are many children we cannot help. Yet. Please become one of our many donors to make the world a little bit better. With $25 you can support a child in Ghana with food for a whole month! Please visit our website for further information or start donating right now by clicking here. Thank you for making the world a better place! Yours Sinceresly, Save the Children",PLACEHOLDER
80,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 5% Machine; The Mail: Dear Sir or Madam, Save the Children is a charity organization which aims to help children in poverty all around the globe. Our work includes providing food and shelter, medical aid and education. Our members are active in countries like Ghana, Namibia and Brazil to tend to their needs.But we funds are limited and thus there are many children we cannot help. Yet. Please become one of our many donors to make the world a little bit better. With $25 you can support a child in Ghana with food for a whole month! Please visit our website for further information or start donating right now by clicking here. Thank you for making the world a better place! Yours Sinceresly, Save the Children",PLACEHOLDER
83,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Dear Sir or Madam, Save the Children is a charity organization which aims to help children in poverty all around the globe. Our work includes providing food and shelter, medical aid and education. Our members are active in countries like Ghana, Namibia and Brazil to tend to their needs.But we funds are limited and thus there are many children we cannot help. Yet. Please become one of our many donors to make the world a little bit better. With $25 you can support a child in Ghana with food for a whole month! Please visit our website for further information or start donating right now by clicking here. Thank you for making the world a better place! Yours Sinceresly, Save the Children",PLACEHOLDER
86,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Only for you: Get your 20% discount on any apple product on apple.com/store! Only applies on products purchased in the online shop between 6th and 8th of september*. So be quick! Use code WEEKENDDEAL on checkout. *minimum order value $200 USD and shipment within the united states. Limited edition items are exempt from the given discount. For further information click on this link.",PLACEHOLDER
89,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99.96% Human; The Mail: Only for you: Get your 20% discount on any apple product on apple.com/store! Only applies on products purchased in the online shop between 6th and 8th of september*. So be quick! Use code WEEKENDDEAL on checkout. *minimum order value $200 USD and shipment within the united states. Limited edition items are exempt from the given discount. For further information click on this link.",PLACEHOLDER
92,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2% Machine; The Mail: Only for you: Get your 20% discount on any apple product on apple.com/store! Only applies on products purchased in the online shop between 6th and 8th of september*. So be quick! Use code WEEKENDDEAL on checkout. *minimum order value $200 USD and shipment within the united states. Limited edition items are exempt from the given discount. For further information click on this link.",PLACEHOLDER
95,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Only for you: Get your 20% discount on any apple product on apple.com/store! Only applies on products purchased in the online shop between 6th and 8th of september*. So be quick! Use code WEEKENDDEAL on checkout. *minimum order value $200 USD and shipment within the united states. Limited edition items are exempt from the given discount. For further information click on this link.",PLACEHOLDER
98,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Congratulations, you got a new Match! Click here to see who it is! Our Tipp: Turn on your notifications to never miss a potential partner! Not happy with the amount of matches you get? Try out Tinder Gold! Unlimited likes, free superlike, profile boosts and many more advantages will elevate your profile and help you getting more matches! Click here to upgrade to Tinder Gold Now!",PLACEHOLDER
101,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 76,62% Human; The Mail: Congratulations, you got a new Match! Click here to see who it is! Our Tipp: Turn on your notifications to never miss a potential partner! Not happy with the amount of matches you get? Try out Tinder Gold! Unlimited likes, free superlike, profile boosts and many more advantages will elevate your profile and help you getting more matches! Click here to upgrade to Tinder Gold Now!",PLACEHOLDER
104,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2% Machine; The Mail: Congratulations, you got a new Match! Click here to see who it is! Our Tipp: Turn on your notifications to never miss a potential partner! Not happy with the amount of matches you get? Try out Tinder Gold! Unlimited likes, free superlike, profile boosts and many more advantages will elevate your profile and help you getting more matches! Click here to upgrade to Tinder Gold Now!",PLACEHOLDER
107,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Congratulations, you got a new Match! Click here to see who it is! Our Tipp: Turn on your notifications to never miss a potential partner! Not happy with the amount of matches you get? Try out Tinder Gold! Unlimited likes, free superlike, profile boosts and many more advantages will elevate your profile and help you getting more matches! Click here to upgrade to Tinder Gold Now!",PLACEHOLDER
110,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Tired of ads and buffering breaks? Be quick and get YouTube Premium for free for 6 months! No ads and unlimited access to YouTube Music online or offline! Just download all your favorite playlists and videos to have access anywhere you go! Click here to start your free trial! This is a limited offer which lasts only for this month!",PLACEHOLDER
113,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 97,94% Human; The Mail: Tired of ads and buffering breaks? Be quick and get YouTube Premium for free for 6 months! No ads and unlimited access to YouTube Music online or offline! Just download all your favorite playlists and videos to have access anywhere you go! Click here to start your free trial! This is a limited offer which lasts only for this month!",PLACEHOLDER
116,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2% Machine; The Mail: Tired of ads and buffering breaks? Be quick and get YouTube Premium for free for 6 months! No ads and unlimited access to YouTube Music online or offline! Just download all your favorite playlists and videos to have access anywhere you go! Click here to start your free trial! This is a limited offer which lasts only for this month!",PLACEHOLDER
119,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Tired of ads and buffering breaks? Be quick and get YouTube Premium for free for 6 months! No ads and unlimited access to YouTube Music online or offline! Just download all your favorite playlists and videos to have access anywhere you go! Click here to start your free trial! This is a limited offer which lasts only for this month!",PLACEHOLDER
122,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear John Doe, we noticed an login-attempt from an unusual device or place. The attempt happend 2024/09/03 5:56 PM CEST near Paris, France on an unknown device. It was me It was not me This mail was sent to john.doe@gmail.com. Please do not forward this mail to ensure your accounts security! For more Information click here",PLACEHOLDER
125,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,96% Human; The Mail: Dear John Doe, we noticed an login-attempt from an unusual device or place. The attempt happend 2024/09/03 5:56 PM CEST near Paris, France on an unknown device. It was me It was not me This mail was sent to john.doe@gmail.com. Please do not forward this mail to ensure your accounts security! For more Information click here",PLACEHOLDER
128,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: Dear John Doe, we noticed an login-attempt from an unusual device or place. The attempt happend 2024/09/03 5:56 PM CEST near Paris, France on an unknown device. It was me It was not me This mail was sent to john.doe@gmail.com. Please do not forward this mail to ensure your accounts security! For more Information click here",PLACEHOLDER
131,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Dear John Doe, we noticed an login-attempt from an unusual device or place. The attempt happend 2024/09/03 5:56 PM CEST near Paris, France on an unknown device. It was me It was not me This mail was sent to john.doe@gmail.com. Please do not forward this mail to ensure your accounts security! For more Information click here",PLACEHOLDER
134,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Please do not answer this mail. Answers to this mail will neither be read nor answered. Dear John Doe, attached to this mail is your ENBW mobility+ Invoice 169 275 300 018 from July 2024. Invoice amount: $24,53 USD. All Invoices are listed on your profile under 'invoices' and may be viewed online or in the app. Please note there may be time discrepancy for viewing the invoice in the app. Kind regards, your ENBW mobility+ team",PLACEHOLDER
137,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,96% Human; The Mail: Please do not answer this mail. Answers to this mail will neither be read nor answered. Dear John Doe, attached to this mail is your ENBW mobility+ Invoice 169 275 300 018 from July 2024. Invoice amount: $24,53 USD. All Invoices are listed on your profile under 'invoices' and may be viewed online or in the app. Please note there may be time discrepancy for viewing the invoice in the app. Kind regards, your ENBW mobility+ team",PLACEHOLDER
140,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2% Machine; The Mail: Please do not answer this mail. Answers to this mail will neither be read nor answered. Dear John Doe, attached to this mail is your ENBW mobility+ Invoice 169 275 300 018 from July 2024. Invoice amount: $24,53 USD. All Invoices are listed on your profile under 'invoices' and may be viewed online or in the app. Please note there may be time discrepancy for viewing the invoice in the app. Kind regards, your ENBW mobility+ team",PLACEHOLDER
143,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Please do not answer this mail. Answers to this mail will neither be read nor answered. Dear John Doe, attached to this mail is your ENBW mobility+ Invoice 169 275 300 018 from July 2024. Invoice amount: $24,53 USD. All Invoices are listed on your profile under 'invoices' and may be viewed online or in the app. Please note there may be time discrepancy for viewing the invoice in the app. Kind regards, your ENBW mobility+ team",PLACEHOLDER
146,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: From 16:00 - 23:59 o-clock: 20% Discount for anything!* Save your money by shopping NOW! Get new Merch and new clothes for your upcoming festivals, concerts, conventions or vacations. Use code LATENIGHT20 at the end of your shopping spree to get 20% Discount on your order. Check this list with all included products! *Conditions of use: EMP Onlineshop only. Purchase value $39,99 USD or higher. The discount will be substracted at the end of your order. Already reduced products are not included.",PLACEHOLDER
149,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 97,97% Human; The Mail: From 16:00 - 23:59 o-clock: 20% Discount for anything!* Save your money by shopping NOW! Get new Merch and new clothes for your upcoming festivals, concerts, conventions or vacations. Use code LATENIGHT20 at the end of your shopping spree to get 20% Discount on your order. Check this list with all included products! *Conditions of use: EMP Onlineshop only. Purchase value $39,99 USD or higher. The discount will be substracted at the end of your order. Already reduced products are not included.",PLACEHOLDER
152,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2% Machine; The Mail: From 16:00 - 23:59 o-clock: 20% Discount for anything!* Save your money by shopping NOW! Get new Merch and new clothes for your upcoming festivals, concerts, conventions or vacations. Use code LATENIGHT20 at the end of your shopping spree to get 20% Discount on your order. Check this list with all included products! *Conditions of use: EMP Onlineshop only. Purchase value $39,99 USD or higher. The discount will be substracted at the end of your order. Already reduced products are not included.",PLACEHOLDER
155,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: From 16:00 - 23:59 o-clock: 20% Discount for anything!* Save your money by shopping NOW! Get new Merch and new clothes for your upcoming festivals, concerts, conventions or vacations. Use code LATENIGHT20 at the end of your shopping spree to get 20% Discount on your order. Check this list with all included products! *Conditions of use: EMP Onlineshop only. Purchase value $39,99 USD or higher. The discount will be substracted at the end of your order. Already reduced products are not included.",PLACEHOLDER
158,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: A game on your wishlist is on discount! 40% Discount for The Long Dark, now only $10,19 USD! The offer ends on 2024/09/07 7:00 pm CEST. The Long Dark, a mixture of exploration and survival, where the player needs to think of creative solutions to ensure his own survival in harsh nature. No Zombies, only you and your base against the long, cold dark. Welcome to th serene apocalypse!",PLACEHOLDER
161,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 96,22% Human; The Mail: A game on your wishlist is on discount! 40% Discount for The Long Dark, now only $10,19 USD! The offer ends on 2024/09/07 7:00 pm CEST. The Long Dark, a mixture of exploration and survival, where the player needs to think of creative solutions to ensure his own survival in harsh nature. No Zombies, only you and your base against the long, cold dark. Welcome to th serene apocalypse!",PLACEHOLDER
164,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: A game on your wishlist is on discount! 40% Discount for The Long Dark, now only $10,19 USD! The offer ends on 2024/09/07 7:00 pm CEST. The Long Dark, a mixture of exploration and survival, where the player needs to think of creative solutions to ensure his own survival in harsh nature. No Zombies, only you and your base against the long, cold dark. Welcome to th serene apocalypse!",PLACEHOLDER
167,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: A game on your wishlist is on discount! 40% Discount for The Long Dark, now only $10,19 USD! The offer ends on 2024/09/07 7:00 pm CEST. The Long Dark, a mixture of exploration and survival, where the player needs to think of creative solutions to ensure his own survival in harsh nature. No Zombies, only you and your base against the long, cold dark. Welcome to th serene apocalypse!",PLACEHOLDER
170,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Mr. Doe, with waipu.tv you may enjoy 235 TV channels in HQ! At home or while traveling on your TV, Laptop, Tablet or Smartphone. Streaming anywhere and everywhere without any cable. Record your favorite shows, rewind or pause whenever you like! Test waipu.tv now for $4,99 USD per month with the first two months for free! Click here to start your trial now.",PLACEHOLDER
173,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,90% Human; The Mail: Dear Mr. Doe, with waipu.tv you may enjoy 235 TV channels in HQ! At home or while traveling on your TV, Laptop, Tablet or Smartphone. Streaming anywhere and everywhere without any cable. Record your favorite shows, rewind or pause whenever you like! Test waipu.tv now for $4,99 USD per month with the first two months for free! Click here to start your trial now.",PLACEHOLDER
176,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: Dear Mr. Doe, with waipu.tv you may enjoy 235 TV channels in HQ! At home or while traveling on your TV, Laptop, Tablet or Smartphone. Streaming anywhere and everywhere without any cable. Record your favorite shows, rewind or pause whenever you like! Test waipu.tv now for $4,99 USD per month with the first two months for free! Click here to start your trial now.",PLACEHOLDER
179,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Dear Mr. Doe, with waipu.tv you may enjoy 235 TV channels in HQ! At home or while traveling on your TV, Laptop, Tablet or Smartphone. Streaming anywhere and everywhere without any cable. Record your favorite shows, rewind or pause whenever you like! Test waipu.tv now for $4,99 USD per month with the first two months for free! Click here to start your trial now.",PLACEHOLDER
182,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: You are 1 quick step away from joining the SANS.org Community. Best practices require that we dont create your SANS Account until you have verified this is a good email address! (If you did not request to join, please contact our customer support team at support@sans.org). Activate your Account by clicking this link",PLACEHOLDER
185,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,96% Human; The Mail: You are 1 quick step away from joining the SANS.org Community. Best practices require that we dont create your SANS Account until you have verified this is a good email address! (If you did not request to join, please contact our customer support team at support@sans.org). Activate your Account by clicking this link",PLACEHOLDER
188,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2,02% Machine; The Mail: You are 1 quick step away from joining the SANS.org Community. Best practices require that we dont create your SANS Account until you have verified this is a good email address! (If you did not request to join, please contact our customer support team at support@sans.org). Activate your Account by clicking this link",PLACEHOLDER
191,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: You are 1 quick step away from joining the SANS.org Community. Best practices require that we dont create your SANS Account until you have verified this is a good email address! (If you did not request to join, please contact our customer support team at support@sans.org). Activate your Account by clicking this link",PLACEHOLDER
194,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Hello, Have you tried out the exercises? We hope these help you get familiarized with how Maltego works and prepare you for the future investigations. Now it is time for a deeper dive! We've found some interesting reads for you: Share live graph and collaborate in Maltego Export Maltego graph for reporting Navigating Maltego graphs with your keyboard Finally, make sure you check out our collection of articles on Maltego's features as well as latest use cases and tutorials on how to use Maltego to hunt threats, network footprint, conduct POI investigations, and more! If you have any questions, feel free to open a support ticket or reach out to support@maltego.com anytime and our team will be happy to assist you. Happy investigating! Best, The Maltego Team",PLACEHOLDER
